antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'pitch_high', 'mfcc2_low'})",frozenset({'Lombard'}),0.19904976244061015,0.49987496874218557,0.1662915728932233,0.8354271356783919,1.6712721938858874,1.0,0.06679157911508384,3.038927670849009,0.5014711302139206,0.312206572769953,0.6709365577889445,0.5840467344224876
"frozenset({'pitch_high', 'rolloff_high'})",frozenset({'Lombard'}),0.194048512128032,0.49987496874218557,0.16029007251812954,0.8260309278350516,1.652475077745058,1.0,0.06329007858366192,2.874792772267142,0.4899142909557524,0.3003748828491097,0.6521488402061856,0.5733456290000671
"frozenset({'centroid_high', 'rolloff_high', 'zcr_high', 'mfcc2_low'})",frozenset({'Lombard'}),0.20980245061265315,0.49987496874218557,0.17079269817454362,0.8140643623361145,1.6285359604712963,1.0,0.0659177047325097,2.6897750078545286,0.4884241154993791,0.316937354988399,0.6282216924910607,0.5778675988769116
"frozenset({'zcr_high', 'rolloff_high', 'mfcc2_low'})",frozenset({'Lombard'}),0.21230307576894222,0.49987496874218557,0.1727931982995749,0.8138987043580684,1.6282045616447802,1.0,0.06666820493570505,2.6873807059359796,0.48981600165391775,0.32035234121464995,0.6278904593639577,0.5797857703881388
"frozenset({'mfcc2_low', 'zcr_high', 'centroid_high'})",frozenset({'Lombard'}),0.22030507626906726,0.49987496874218557,0.17904476119029758,0.8127128263337118,1.625832212360437,1.0,0.06891976807655278,2.6703645608371804,0.4936935831234032,0.33086876155268025,0.6255192962542566,0.5854459579392421
"frozenset({'zcr_high', 'mfcc2_low'})",frozenset({'Lombard'}),0.23005751437859465,0.49987496874218557,0.18554638659664915,0.8065217391304348,1.6134469408617351,1.0,0.07054639378774424,2.584915891894322,0.4938147208855046,0.3408360128617363,0.6131402173913043,0.5888536659634165
frozenset({'mfcc3_low'}),frozenset({'Lombard'}),0.3300825206301575,0.49987496874218557,0.2650662665666417,0.8030303030303031,1.606462322070126,1.0,0.10006627688429987,2.5390963125396744,0.5635234211582751,0.4692341744134573,0.6061590909090909,0.6666477177982931
"frozenset({'mfcc2_low', 'centroid_high'})",frozenset({'Lombard'}),0.25331332833208303,0.49987496874218557,0.20230057514378594,0.7986179664363277,1.5976354416102423,1.0,0.07567558306180694,2.483464003255715,0.5009798507580077,0.3672265093054925,0.5973366238894371,0.6016601588059577
"frozenset({'mfcc2_low', 'rolloff_high', 'centroid_high'})",frozenset({'Lombard'}),0.2385596399099775,0.49987496874218557,0.1902975743935984,0.7976939203354297,1.5957868871542689,1.0,0.07104758185045136,2.472120620828782,0.4903206178026061,0.3471715328467153,0.5954889937106916,0.589192132754008
"frozenset({'rolloff_high', 'mfcc2_low'})",frozenset({'Lombard'}),0.2558139534883721,0.49987496874218557,0.20055013753438358,0.7839687194525904,1.568329619355132,1.0,0.07267514553056867,2.315058402609702,0.4869466957605984,0.36126126126126124,0.5680454545454544,0.5925846598763702
"frozenset({'rolloff_high', 'zcr_high', 'centroid_high'})",frozenset({'Lombard'}),0.25056264066016504,0.49987496874218557,0.19479869967491872,0.7774451097804391,1.555279136574275,1.0,0.06954870750695924,2.2471985709431843,0.47639552260861623,0.35058505850585053,0.555001497005988,0.5835699786020755
"frozenset({'zcr_high', 'centroid_high'})",frozenset({'Lombard'}),0.2800700175043761,0.49987496874218557,0.21580395098774693,0.7705357142857142,1.541456889158865,1.0,0.07580395974212356,2.1795332101507863,0.4879128318422008,0.38253546099290775,0.5411861607142855,0.6011257861073394
"frozenset({'rolloff_high', 'zcr_high'})",frozenset({'Lombard'}),0.2585646411602901,0.49987496874218557,0.19904976244061015,0.769825918762089,1.540036943036315,1.0,0.06979977052277572,2.1728121105906726,0.4729541467879024,0.3558337058560571,0.5397669245647968,0.584012509155932
frozenset({'pitch_high'}),frozenset({'Lombard'}),0.3300825206301575,0.49987496874218557,0.2503125781445361,0.7583333333333333,1.5170460230115057,1.0,0.0853125884621943,2.06948288796337,0.5087555221933722,0.43183779119930965,0.5167874999999998,0.6295418542604635
"frozenset({'rolloff_high', 'centroid_high'})",frozenset({'Lombard'}),0.2908227056764191,0.49987496874218557,0.21955488872218054,0.7549441100601891,1.5102658810058511,1.0,0.07417989781266271,2.040861092466099,0.47641814805414273,0.3844133099824868,0.5100107480653481,0.5970818599325458
frozenset({'mfcc2_low'}),frozenset({'Lombard'}),0.3300825206301575,0.49987496874218557,0.24856214053513379,0.753030303030303,1.5064373095638728,1.0,0.08356215085279198,2.0250461388353225,0.5018261866833702,0.4275268817204301,0.5061840909090909,0.6251394636712295
frozenset({'centroid_high'}),frozenset({'Lombard'}),0.3300825206301575,0.49987496874218557,0.24681170292573143,0.7477272727272728,1.49582859611624,1.0,0.08181171324338962,1.9824776013823282,0.4947985627264177,0.4232418524871354,0.4955806818181819,0.6207370730819955
frozenset({'zcr_high'}),frozenset({'Lombard'}),0.3300825206301575,0.49987496874218557,0.24381095273818454,0.7386363636363636,1.4776422302060122,1.0,0.07881096305584273,1.9135218587255511,0.4825164383954978,0.41595563139931735,0.47740340909090906,0.6131901177861658
frozenset({'rolloff_high'}),frozenset({'Lombard'}),0.3300825206301575,0.49987496874218557,0.23680920230057514,0.7174242424242424,1.4352073764154805,1.0,0.07180921261823334,1.7698794671858313,0.4526476608515605,0.3992411467116357,0.43498977272727263,0.5955805554292297
frozenset({'mfcc5_low'}),frozenset({'Lombard'}),0.3300825206301575,0.49987496874218557,0.2320580145036259,0.703030303030303,1.4064122970576196,1.0,0.06705802482128409,1.6840944930110078,0.4313530524771209,0.38812212463404433,0.4062090909090908,0.583631209544166
frozenset({'mfcc7_low'}),frozenset({'Lombard'}),0.3300825206301575,0.49987496874218557,0.2315578894723681,0.7015151515151515,1.4033812360725817,1.0,0.0665578997900263,1.6755457900008,0.4290606807446447,0.38696197241955704,0.40317954545454543,0.5823733836615277
